year,category,value
2012,Category 1 : Light Lager,200
2012,Category 2 : Pilsner,237
2012,Category 3 : European Amber Lager,158
2012,Category 4 : Dark Lager,162
2012,Category 5 : Bock,195
2012,Category 6 : Light Hybrid Beer,303
2012,Category 7 : Amber Hybrid Beer,174
2012,Category 8 : English Pale Ale,265
2012,Category 9 : Scottish and Irish Ale,308
2012,Category 10 : American Ale,603
2012,Category 11 : English Brown Ale,198
2012,Category 12 : Porter,326
2012,Category 13 : Stout,630
2012,Category 14 : India Pale Ale (IPA),553
2012,Category 15 : German Wheat and Rye Beer,237
2012,Category 16 : Belgian and French Ale,491
2012,Category 17 : Sour Ale,255
2012,Category 18 : Belgian Strong Ale,454
2012,Category 19 : Strong Ale,279
2012,Category 20 : Fruit Beer,169
2012,Category 21 : Spice/Herb/Vegetable Beer,362
2012,Category 22 : Smoke-Flavored and Wood-Aged Beer,335
2012,Category 23 : Specialty Beer,383
2012,Category 24 : Traditional Mead,106
2012,Category 25 : Melomel (Fruit Mead),132
2012,Category 26 : Other Mead,97
2012,Category 27 : Standard Cider and Perry,115
2012,Category 28 : Specialty Cider and Perry,96
