year,category,value
2013,Category 1 : Light Lager,203 
2013,Category 2 : Pilsner,209 
2013,Category 3 : European Amber Lager,159 
2013,Category 4 : Dark Lager,193 
2013,Category 5 : Bock,216 
2013,Category 6 : Light Hybrid Beer,343 
2013,Category 7 : Amber Hybrid Beer,156 
2013,Category 8 : English Pale Ale,211 
2013,Category 9 : Scottish and Irish Ale,273 
2013,Category 10 : American Ale,598 
2013,Category 11 : English Brown Ale,215 
2013,Category 12 : Porter,335 
2013,Category 13 : Stout,576 
2013,Category 14 : India Pale Ale (IPA),584 
2013,Category 15 : German Wheat and Rye Beer,194 
2013,Category 16 : Belgian and French Ale,560 
2013,Category 17 : Sour Ale,295 
2013,Category 18 : Belgian Strong Ale,421 
2013,Category 19 : Strong Ale,277 
2013,Category 20 : Fruit Beer,181 
2013,Category 21 : Spice/Herb/Vegetable Beer,311 
2013,Category 22 : Smoke-Flavored and Wood-Aged Beer,384 
2013,Category 23 : Specialty Beer,359 
2013,Category 24 : Traditional Mead,78 
2013,Category 25 : Melomel (Fruit Mead),119 
2013,Category 26 : Other Mead,93 
2013,Category 27 : Standard Cider and Perry,103 
2013,Category 28 : Specialty Cider and Perry,96 
