year,category,value
2014,Category 1 : Light Lager,179 
2014,Category 2 : Pilsner,182 
2014,Category 3 : European Amber Lager,161 
2014,Category 4 : Dark Lager,166 
2014,Category 5 : Bock,232 
2014,Category 6 : Light Hybrid Beer,379 
2014,Category 7 : Amber Hybrid Beer,164 
2014,Category 8 : English Pale Ale,270 
2014,Category 9 : Scottish and Irish Ale,310 
2014,Category 10 : American Ale,696 
2014,Category 11 : English Brown Ale,235 
2014,Category 12 : Porter,364 
2014,Category 13 : Stout,708 
2014,Category 14 : India Pale Ale (IPA),852 
2014,Category 15 : German Wheat and Rye Beer,208 
2014,Category 16 : Belgian and French Ale,591 
2014,Category 17 : Sour Ale,286 
2014,Category 18 : Belgian Strong Ale,408 
2014,Category 19 : Strong Ale,241 
2014,Category 20 : Fruit Beer,208 
2014,Category 21 : Spice/Herb/Vegetable Beer,483 
2014,Category 22 : Smoke-Flavored and Wood-Aged Beer,403 
2014,Category 23 : Specialty Beer,463 
2014,Category 24 : Traditional Mead,71 
2014,Category 25 : Melomel (Fruit Mead),127 
2014,Category 26 : Other Mead,87 
2014,Category 27 : Standard Cider and Perry,110 
2014,Category 28 : Specialty Cider and Perry,101 
2015,Category 1 : Light Lager,174 
2015,Category 2 : Pilsner,193 
2015,Category 3 : European Amber Lager,166 
2015,Category 4 : Dark Lager,148 
2015,Category 5 : Bock,170 
2015,Category 6 : Light Hybrid Beer,331 
2015,Category 7 : Amber Hybrid Beer,157 
2015,Category 8 : English Pale Ale,217 
2015,Category 9 : Scottish and Irish Ale,268 
2015,Category 10 : American Ale,563 
2015,Category 11 : English Brown Ale,212 
2015,Category 12 : Porter,303 
2015,Category 13 : Stout,608 
2015,Category 14 : India Pale Ale (IPA),666 
2015,Category 15 : German Wheat and Rye Beer,170 
2015,Category 16 : Belgian and French Ale,524 
2015,Category 17 : Sour Ale,288 
2015,Category 18 : Belgian Strong Ale,407 
2015,Category 19 : Strong Ale,209 
2015,Category 20 : Fruit Beer,192 
2015,Category 21 : Spice/Herb/Vegetable Beer,385 
2015,Category 22 : Smoke-Flavored and Wood-Aged Beer,350 
2015,Category 23 : Specialty Beer,410 
2015,Category 24 : Traditional Mead,82 
2015,Category 25 : Melomel (Fruit Mead),133 
2015,Category 26 : Other Mead,115 
2015,Category 27 : Standard Cider and Perry,107 
2015,Category 28 : Specialty Cider and Perry,116 
2016,Category 1 : Light Lager,224 
2016,Category 2 : Pilsner,215 
2016,Category 3 : European Amber Lager,180 
2016,Category 4 : Dark Lager,165 
2016,Category 5 : Bock,178 
2016,Category 6 : Light Hybrid Beer,280 
2016,Category 7 : Amber Hybrid Beer,149 
