year, category,count
2015, Category 1: Light Lager ,(11 entries)
2015, Category 2: Pilsner   ,(8 entries)
2015, Category 3: European   Amber Lager ,(6 entries)
2015, Categories 4 & 5: Dark Lager and Bock ,(7 entries)
2015, Category 6: Light   Hybrid Beer ,(14 entries)
2015, Category 7: Amber   Hybrid Beer ,(8 entries)
2015, Category 8: English   Pale Ale ,(5 entries)
2015, Category 9: Scottish   and Irish Ale ,(6 entries)
2015, Category 10:   American Ale ,(18 entries)
2015, Category 11: English   Brown Ale ,(8 entries)
2015, Category 12: Porter   ,(16 entries)
2015, Category 13: Stout   ,(22 entries)
2015, Category 14: India   Pale Ale (IPA) ,(19 entries)
2015, Category 15: German   Wheat and Rye Beer ,(6 entries)
2015, Category 16: Belgian   and French Ale ,(7 entries)
2015, Category 17: Sour   Ale ,(4 entries)
2015, Category 18: Belgian   Strong Ale ,(10 entries)
2015, Category 19: Strong   Ale ,(10 entries)
2015, Category 20: Fruit   Beer ,(3 entries)
2015, Category 21:   Spice/Herb/Vegatable Beer ,(12 entries)
2015, Category 22:   Smoke-Flavored and Wood-Aged Beer ,(8 entries)
2015, Category 23:   Specialty Beer ,(8 entries)
2015, Categories 24-26:   Mead ,(18 entries)
2015, Categories 27-28:   Cider ,(12 entries)
