category,entries
Category 1 : Light Lager,"Sponsored by : Five Star Chemicals & Supply, Inc. 203 Entries"
Category 2 : Pilsner,Sponsored by : Seven Bridges Cooperative 209 Entries
Category 3 : European Amber Lager,Sponsored by : Brewers Publications 159 Entries
Category 4 : Dark Lager,Sponsored by : Briess Malt & Ingredients Co. 193 Entries
Category 5 : Bock,Sponsored by : Washington Hop Comission 216 Entries
Category 6 : Light Hybrid Beer,Sponsored by : Cargill World Select c/o Cargill Malt 343 Entries
Category 7 : Amber Hybrid Beer,Sponsored by : Grape & Granary 156 Entries
Category 8 : English Pale Ale,Sponsored by : St. Louis Wine & Beer Making 211 Entries
Category 9 : Scottish and Irish Ale,Sponsored by : Brew Brothers Homebrew Products 273 Entries
Category 10 : American Ale,Sponsored by : BJ's Restaurant & Brewhouse 598 Entries
Category 11 : English Brown Ale,Sponsored by : Alternative Beverage 215 Entries
Category 12 : Porter,Sponsored by : Deschutes Brewery 335 Entries
Category 13 : Stout,Sponsored by : Brew & Grow 576 Entries
Category 14 : India Pale Ale (IPA),"Sponsored by : S.S. Steiner, Inc. 584 Entries"
Category 15 : German Wheat and Rye Beer,Sponsored by : Widmer Brothers Brewing Company 194 Entries
Category 16 : Belgian and French Ale,Sponsored by : Port Brewing Company/The Lost Abbey 560 Entries
Category 17 : Sour Ale,Sponsored by : Captain Lawrence Brewing Co. 295 Entries
Category 18 : Belgian Strong Ale,Sponsored by : Dingemans c/o Cargill Malt 421 Entries
Category 19 : Strong Ale,Sponsored by : Northern Brewer 277 Entries
Category 20 : Fruit Beer,Sponsored by : High Gravity Homebrewing & Winemaking Supplies 181 Entries
Category 21 : Spice/Herb/Vegetable Beer,Sponsored by : Austin Homebrew Supply 311 Entries
Category 22 : Smoke-Flavored and Wood-Aged Beer,Sponsored by : Alaskan Brewing Co. 384 Entries
Category 23 : Specialty Beer,Sponsored by : The Hops Shack 359 Entries
Category 24 : Traditional Mead,Sponsored by : Moonlight Meadery 78 Entries
Category 25 : Melomel (Fruit Mead),Sponsored by : Moonlight Meadery 119 Entries
Category 26 : Other Mead,Sponsored by : Celestial Meads 93 Entries
Category 27 : Standard Cider and Perry,Sponsored by : Woodchuck Hard Cider 103 Entries
Category 28 : Specialty Cider and Perry,Sponsored by : Woodchuck Hard Cider  96 Entries
