category,entries
Category 1 : Light Lager,"Sponsored by : Five Star Chemicals & Supply, Inc. 200 Entries"
Category 2 : Pilsner,Sponsored by : Beer & Winemakers Warehouse 237 Entries
Category 3 : European Amber Lager,"Sponsored by : ""How to Brew,"" by John Palmer 158 Entries"
Category 4 : Dark Lager,Sponsored by : Briess Malt & Ingredients Company 162 Entries
Category 5 : Bock,Sponsored by : Washington Hop Commission 195 Entries
Category 6 : Light Hybrid Beer,Sponsored by : Cargill World Select c/o Cargill Malt 303 Entries
Category 7 : Amber Hybrid Beer,Sponsored by : Grape & Granary 174 Entries
Category 8 : English Pale Ale,Sponsored by : St Louis Wine & Beer Making 265 Entries
Category 9 : Scottish and Irish Ale,Sponsored by : Brew Brothers Homebrew Products 308 Entries
Category 10 : American Ale,Sponsored by : BJ's Restaurant & Brewhouse 603 Entries
Category 11 : English Brown Ale,Sponsored by : Alternative Beverage 198 Entries
Category 12 : Porter,Sponsored by : Deschutes Brewery 326 Entries
Category 13 : Stout,Sponsored by : Brew & Grow 630 Entries
Category 14 : India Pale Ale (IPA),"Sponsored by : S.S. Steiner, Inc. 553 Entries"
Category 15 : German Wheat and Rye Beer,Sponsored by : Widmer Brothers Brewing Company 237 Entries
Category 16 : Belgian and French Ale,Sponsored by : Port Brewing Co/The Lost Abbey 491 Entries
Category 17 : Sour Ale,Sponsored by : Capitan Lawrence Brewing Company 255 Entries
Category 18 : Belgian Strong Ale,Sponsored by : Dingemans c/o Cargill Malt 454 Entries
Category 19 : Strong Ale,Sponsored by : Northern Brewer 279 Entries
Category 20 : Fruit Beer,Sponsored by : New Belgium Brewing Company 169 Entries
Category 21 : Spice/Herb/Vegetable Beer,Sponsored by : Austin Homebrew Supply 362 Entries
Category 22 : Smoke-Flavored and Wood-Aged Beer,Sponsored by : Alaskan Brewing Company 335 Entries
Category 23 : Specialty Beer,Sponsored by : The Hops Shack 383 Entries
Category 24 : Traditional Mead,Sponsored by : B. Nektar Meadery 106 Entries
Category 25 : Melomel (Fruit Mead),"Sponsored by : Bacchus and Barleycorn, Ltd. 132 Entries"
Category 26 : Other Mead,Sponsored by : Celestial Meads 97 Entries
Category 27 : Standard Cider and Perry,Sponsored by : Woodchuck Hard Cider 115 Entries
Category 28 : Specialty Cider and Perry,Sponsored by : Woodchuck Hard Cider 96 Entries
Category 1 : Light Lager,"Sponsored by : Five Star Products & Services, Inc. 191 Entries"
Category 2 : Pilsner,Sponsored by : Beer & Winemakers Warehouse 215 Entries
Category 3 : European Amber Lager,"Sponsored by : ""How to Brew,"" by John Palmer 140 Entries"
Category 4 : Dark Lager,Sponsored by : Briess Malt & Ingredients Co 171 Entries
Category 5 : Bock,Sponsored by : Washington Hop Commission 230 Entries
Category 6 : Light Hybrid Beer,Sponsored by : Cargill World Select c/o Cargill Malt 272 Entries
Category 7 : Amber Hybrid Beer,Sponsored by : Grape & Granary 157 Entries
Category 8 : English Pale Ale,Sponsored by : St Louis Wine & Beer Making 256 Entries
Category 9 : Scottish and Irish Ale,Sponsored by : Brew Brothers Homebrew Products 257 Entries
Category 10 : American Ale,Sponsored by : BJ's Restaurant & Brewhouse 493 Entries
Category 11 : English Brown Ale,Sponsored by : Alternative Beverage 227 Entries
Category 12 : Porter,"Sponsored by : Deschutes Brewery, Inc. 320 Entries"
Category 13 : Stout,Sponsored by : Brew & Grow 566 Entries
Category 14 : India Pale Ale (IPA),"Sponsored by : S.S. Steiner, Inc. 462 Entries"
Category 15 : German Wheat and Rye Beer,Sponsored by : Widmer Brothers Brewing Co 216 Entries
Category 16 : Belgian and French Ale,Sponsored by : Port Brewing Co/The Lost Abbey 394 Entries
Category 17 : Sour Ale,Sponsored by : Capitan Lawrence Brewing Co 204 Entries
Category 18 : Belgian Strong Ale,Sponsored by : Dingemans c/o Cargill Malt 404 Entries
Category 19 : Strong Ale,Sponsored by : Northern Brewer 252 Entries
Category 20 : Fruit Beer,Sponsored by : New Belgium Brewing Co 143 Entries
Category 21 : Spice/Herb/Vegetable Beer,Sponsored by : High Gravity Homebrewing & Winemaking Supplies 286 Entries
Category 22 : Smoke-Flavored and Wood-Aged Beer,Sponsored by : Alaskan Brewing Co 289 Entries
Category 23 : Specialty Beer,Sponsored by : The Hops Shack 346 Entries
Category 24 : Traditional Mead,Sponsored by : B. Nektar Meadery 84 Entries
Category 25 : Melomel (Fruit Mead),"Sponsored by : Bacchus and Barleycorn, Ltd. 132 Entries"
